Medications,Yoga,physical therapy,ate breakfast,yoga,grocery shopping,Coenzyme q-10,housework,Exercise,Dermatologist,worked in garden,exercise,Stayed in bed all day,Chiropractic,neuro,psychiatrists,Walking,Medication,Slept most of the day,did 7 mins of exercise   woohoo,Vitamin d,counselor,row
,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Medications
0.0,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Yoga
0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,physical therapy
2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,ate breakfast
2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,yoga
2.0,2.0,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,grocery shopping
0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Coenzyme q-10
2.0,2.0,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,housework
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Exercise
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Dermatologist
2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,worked in garden
2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,exercise
2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Stayed in bed all day
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Chiropractic
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,neuro
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,psychiatrists
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,Walking
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,Medication
2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,Slept most of the day
2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,did 7 mins of exercise   woohoo
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,Vitamin d
0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,counselor
