Triamcinolone Lotion,Vitamins,Hemorrhoid Cream,wear mask,Ambien CR,Miralax low dose at night,Prednisone,Zantac,Lavender oil,N-acetyl cysteine,foot brace,Gravol,Vitamin b complex,Magnesium malate,elliptical,Megaspore,THC,Gaba,CrossFit,Fish oil,Eicosapentaenoic acid,worried,Triamcinolone Cream,electric wheelchair,cocodamol,Inositol,Went to work,Stretching,Omeprazole,Pepto-bismol children's,Bicarb on scalp,exercise - dancing,0.9% Sodium Chloride Solution 1L,Tramadol,Compression Stockings,Acetaminophen,pain,Charcoal,alcohol,Docosahexaenoic acid,Citalopram,Zofran,Hydroxyzine,Sauna,Biotin,Low-FODMAP diet,Green Vibrance,Humira,Acetaminophen plus Codeine Number 3,Epsom Salts,Inderal,Ibuprofen,Aga,Vitamin C,b12 injection,co-tenidone,Probiotics,Gabapentin,Medication,Cetirizine,CuraMed,Thyroid-Pro,Zomig,hydrocortisone suppository ,Coenzyme q-10,Vitamin d,Methotrexate,Curcumin,Tolterodine,Norco,Contraceptive pill,More stretching,physical therapy,Mediterranean Diet,Echinacea,Flonase,Pepto-bismol,Lying flat,8 hours of sleep,Daytime sleep,Bentyl,Clonazepam,occular migraine meds,Therapy,Aleve,Oxynorm,No red meat,Calcium citrate,Nycopro Probiotic,Folic acid,Quell Unit,MMJ,Wear shoulder brace,Spinal epidural,Migraine Diet,Inolaxol,Selenium,Burbur-Pinella,Inflamma-blox,5-htp,Peristeen,Flo-pred,Cetirizine hydrochloride,Freezie wrap,Ocella,gluten free,Fruit,dairy free,Iberogast,flu vaccine injection,colofac mr,Protecting back,nsaid,Neti Pot,Seasonique,Support worker assistance,heating pads,Iron,catheter,Tacrolimus,no work,All i could do to make it through work,Azathioprine,Iodine,Glycine,Pain center and right lower side,Pentasa,Sleep,drawing,Multi-vitamin,row
,,0.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Triamcinolone Lotion
,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,,,Vitamins
0.0,,,,,,1.18767352582,,,,,,,,,,,,,0.0,,,1.03987707511,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.00545603664359,,,,,,0.12306793326,,,,,,,,,,0.0,,,,,,,,,,,,0.0477334423182,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.000281533771351,,,,,,,,,,,,,Hemorrhoid Cream
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,wear mask
,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,Ambien CR
,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,Miralax low dose at night
2.0,,1.18767352582,,,,,,,,,,,,,,,,,0.0,,,0.0110659389866,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.08418486872,,,,,,1.63665146603,,,,,,,,,,0.0,,,,,,,,,,,,1.47855881754,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,1.21092646276,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lavender oil
,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-acetyl cysteine
