Rainy Day,food log,gardening,Difficulty Waking,little breakfast,donut,weights,No TV,Dr Pepper,Arby's,row
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rainy Day
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,food log
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gardening
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Difficulty Waking
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,little breakfast
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,donut
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No TV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Dr Pepper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arby's
