Albuterol,Echinacea,WomenSense AdrenaSense Adrenal Formula,Acetaminophen,Amitriptyline,5-htp,B12 timed release,Folic acid,MonoNessa,Biotin,Zyrtec,Buffered Salmon Oil - DHA - EPA,Calcium citrate,Sisu B Calm,Thyroid-Pro (CanPrev),Flexeril,Cetirizine,Thyroid-Pro,Cymbalta,Vitamin d,AOR Zinc-Copper Balance,Curcumin,Probiotic Pearls,row
,,,,,,,,,,2.0,,,,,,,,,,,,,Albuterol
,,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Echinacea
,0.0,,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,WomenSense AdrenaSense Adrenal Formula
,2.0,2.0,,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,Acetaminophen
,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,Amitriptyline
,0.0,0.0,2.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,5-htp
,0.0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,B12 timed release
,0.0,0.0,2.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Folic acid
,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,MonoNessa
,0.0,0.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Biotin
2.0,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Buffered Salmon Oil - DHA - EPA
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Calcium citrate
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Sisu B Calm
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,Thyroid-Pro (CanPrev)
,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,Flexeril
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,Cetirizine
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,Thyroid-Pro
,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,Cymbalta
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,Vitamin d
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,0.0,AOR Zinc-Copper Balance
,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,Curcumin
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,Probiotic Pearls
