Albuterol,gluten free diet,physical therapy,Fluvoxamine,Selenium,0.9% Sodium Chloride Solution 1L,Burbur-Pinella,Low Dose Naltrexone,Tyrosine,Methylphenidate,Lavender oil,Plaquenil,Topiramate,Magnesium malate,Green Vibrance,Epsom Salts,Zyrtec,Voltaren,Ropinirole,Midodrine,Gaba,CuraMed,Zomig,N-acetyl cysteine,Ibuprofen,Inositol,Magnesium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.9% Sodium Chloride Solution 1L
,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,Burbur-Pinella
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,Lavender oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,0.0,,0.0,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,Magnesium malate
,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,,Green Vibrance
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,,Gaba
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,,CuraMed
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,,N-acetyl cysteine
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Inositol
,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
