coconut,Pilates,hiking,physical therapy,fast food,vacation,Biest,had sex,Cannabis CBD capsule 10mg,stretching,Zolpidem,My Goodness Organics meals,ate breakfast,Ate junk food,swam,travel,Superlong nap,housework,allergy shot,Physio,dairy,Venlafaxine,broken sleep,Thyreoidum,busy,coffee,Cold Mask,knitting,Enbrel,Sulfasalazine,did squats,Daytime nap,couscous,pilates,spent day with others,D-Ribose,Late lunch,bread,tomato,Walking,slept in,Gardening,Nortriptyline,Cymbalta,Awesome cheat day,walked,new environment,2 naps,Meditation,Trazodone,Thyrax,Pantoprazole,row
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,coconut
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,Pilates
,,,0.0,,0.0,0.0,-2.22044604925e-16,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,2.0,2.0,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,hiking
,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,physical therapy
,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,fast food
,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,vacation
,,0.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Biest
,,-2.22044604925e-16,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,0.0,,2.0,2.0,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis CBD capsule 10mg
,,0.0,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,stretching
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem
,,0.0,,,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,My Goodness Organics meals
,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.131101535115,,,,,,,ate breakfast
,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,Ate junk food
,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,swam
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
0.0,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,Superlong nap
,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,housework
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,allergy shot
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,Physio
,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venlafaxine
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,broken sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyreoidum
,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,busy
,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,2.0,,,,2.0,2.0,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knitting
,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Enbrel
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,Sulfasalazine
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,did squats
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,Daytime nap
,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,couscous
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,pilates
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,spent day with others
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Ribose
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,Late lunch
,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,bread
0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomato
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking
,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,slept in
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,Gardening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cymbalta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,Awesome cheat day
,,0.0,,0.0,0.0,,0.0,,,,,0.131101535115,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,2.0,,,,,walked
,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2 naps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trazodone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyrax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
