little sleep,walking,unproductive,hiking,sore shoulder,sleepy,Hot,college,Children's Museum,bad headache day,stressed 2,ate breakfast,tough long run,sharp nerve pain,productive,nauseated,recouperating from eating too much sugar,out of the house,socialization,cleansing,content,Foggy,bored,exercise,happy,long run,drink,pain,yardwork,very productive,3 hour nap,relaxed,Superlong nap,Bad sleep,free,physio,awake,rain,drive to balt,bad lunch,worked,no work,neck massage,barometric pressure change,good sleep,benadryl ,aura migraine,fulfilled,weightlifting,determined,stressed,aftereffects,focused,low productivity,Stress 2,row
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,little sleep
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,walking
,0.0,,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,unproductive
0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,hiking
,0.0,0.0,,,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,sore shoulder
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,sleepy
0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,Hot
0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,college
0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,Children's Museum
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,bad headache day
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,stressed 2
0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,1.11022302463e-16,0.0,2.0,0.0,0.0,ate breakfast
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,tough long run
2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,sharp nerve pain
,2.0,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,,,,2.0,2.0,,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,productive
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,nauseated
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,recouperating from eating too much sugar
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,out of the house
2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,,,,0.0,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,socialization
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,cleansing
