rainy,danced,Skipped meds,camping,tired,good sleep,travel,Errands,period,walked,weather change,Dairy,Alcohol yesterday,music festival,ate breakfast,Gluten,row
,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,rainy
2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,danced
2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,Skipped meds
2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,camping
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,tired
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,good sleep
2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,travel
2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,Errands
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,period
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,walked
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,weather change
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,0.0,Dairy
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,Alcohol yesterday
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,music festival
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,2.0,ate breakfast
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,Gluten
