8k steps,Hemorrhoid Cream,Fluids,Amitriptyline,played video games,Prednisone,Flonase,Diary,Iceburg Lettuce,Mirtazapine,Probiotic,ate gluten,Magnesium,day at home,Slept a lot,Flexeril,11K steps,Hiking,Fish oil,Rest,Triamcinolone Cream,spent day with others,took naps,Language Learning,slept 7 hours,ASMR,Coffee,Yin Chiao,Gluten,grocery shopping,Synthroid,SPD alternative treatments,Umeboshi,exercise,Humira,Pet Therapy,Superlong nap,breathing exercises,Daytime nap,Cleaning ,Vitamin C,Massage ,studied,hydrocortisone suppository ,fun shopping,Vitamin d,Late lunch,Canadian Bacon,massage,Yoga,hiking,fructose,shopped,had sex,Metformin,Bactrim,walked the dogs,Infection,15K steps,Therapy,Fructose,slept late,Taco Bell,Medication,2K steps,Slept during day,fructose ,Ibuprofen,Tylenol,Melatonin,TENS Unit,Valacyclovir,Nap,yoga,Wei Zhang Shun Qi Wan,Ocella,Exercise--walking,Ranitidine,Neti Pot,Kayaking,Gan Mao Qing anti-viral,Progesterone,Essential oils,Iron,Tian Ma Tou Tong - headache,Ondansetron,Biking,Pataday,Car travel,Fishing,Paracetamol,travel,row
,,,0.0,,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,8k steps
,,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Hemorrhoid Cream
,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,Fluids
0.0,,,,0.0,,,,,,,1.94002951223,,,,0.075585408977,2.0,,,,,,2.0,,,,,,,0.0,0.075585408977,,,,,,,,,,,,2.0,,0.0,0.075585408977,,,,,,,0.0,,0.075585408977,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Amitriptyline
,,,0.0,,,,,,,,2.0,,,,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,0.0,,,,,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Prednisone
,0.0,,,,0.0,,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Flonase
,2.0,,,,2.0,2.0,,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Diary
,2.0,,,,2.0,2.0,0.0,,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Iceburg Lettuce
,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,Mirtazapine
,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,Probiotic
2.0,,,1.94002951223,2.0,,,,,,,,,,,1.73888779107,0.0,,,,,,0.0,,,,,,,2.0,1.73888779107,,,,,,,,,,,,0.0,,2.0,1.73888779107,,,,,,,2.0,,1.73888779107,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,ate gluten
,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,day at home
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept a lot
0.0,,,0.075585408977,0.0,,,,,,,1.73888779107,,,,,2.0,,,,,,2.0,,,,,,,0.0,1.11022302463e-16,,,,,,,,,,,,2.0,,0.0,1.11022302463e-16,,,,,,,0.0,,1.11022302463e-16,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Flexeril
2.0,,,2.0,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,11K steps
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Hiking
,0.0,,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,,,,2.0,,,0.0,,,,,,,,2.0,,0.0,,,2.0,0.0,,,,2.0,0.0,0.0,,,0.0,,0.0,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,2.0,2.0,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.520611732341,,,,,,0.0400435968182,,,,,,1.44543452996,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Triamcinolone Cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spent day with others
,,,2.0,2.0,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,0.0,,2.0,2.0,,,,,,,2.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took naps
,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,Language Learning
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,slept 7 hours
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,ASMR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
