Triamcinolone,didn't really eat lunch,studied,Ritalin,hiking,allergy shot,Social,Cyclizine,hot,Caffeine,made challah,vacation,Dehydrated,walked,slept not alone,slept lots,Work hard,singing,worked,ate breakfast,Solifenacin,Socialising,tumblr,Darifenacin,Probiotic,good breakfast,travel,cooking,Ribose,Monteluklast,gluten ,sugar,vitamin D tablets,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,had sex last night,exercise,long sleep,gaming,shopping,gluten,SAM-E,sitting,Cider,Superlong nap,coursera,scary new shit,marijuana,weekend shopping,went to bed too late,busy,day after weights,House cleaning,Amitryptiline,bunny cuddles,got stuff done,ramen,Breakfast,Cetraben cream,church,heavy lifting,slept in,salad,healthy dinner,Guarana & Ginseng,restaurant,Ginger,Much sex,shower,cooked,Vitamin b12,Cabergoline,magnesium ionic,Cerelle,Meditation,Passionflower,Singing,Trip,Cinema,row
,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,Triamcinolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,0.0,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,studied
,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Ritalin
,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,hiking
,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,allergy shot
,,,0.0,,,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Social
,,,0.0,,,0.0,,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Cyclizine
2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,hot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,made challah
,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,vacation
,,,0.0,,,0.0,0.0,,,,,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Dehydrated
,,,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,walked
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,,,,,2.0,,2.0,0.0,,0.0,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,slept not alone
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,slept lots
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Work hard
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,,,,,2.0,,2.0,0.0,,0.0,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,singing
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,worked
,,,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,,,,2.0,2.0,2.0,0.0,2.0,0.0125033235101,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,,2.0,0.0658531726364,0.0,0.0,0.0,,0.0,0.00239488488687,,,,,,,0.0,2.0,,,0.0,0.0,0.0,2.0,,2.0,2.0,,0.0,2.0,,,2.0,,2.0,2.0,,2.0,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Socialising
2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,tumblr
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Darifenacin
