rest day,didn't really eat lunch,Cycling,nap,coffee,tramadol,decent sleep,Pepto-bismol,had sex,walked,gluten,fast food,Amitriptyline,Yoga,ate breakfast,Mt. Si ACDC 2x Coco Caps,Ventolin,Solpadeine Max,Rowing machine,spinach,smoothie,sitting,caffeine,excedrin migraine,Physio,dairy,no lunch,Solpadol,laxatives,Tetralabs Gold Caps,Self care,banana,exercise,drank alcohol,coconut milk,Work,gardened,Tetralabs Gold Caps CBN,Cefaly Unit,Buffered Salmon Oil - DHA - EPA,good nights sleep,Recov Bipeptides,exercised,breathing exercises,slept in,heating pads,linseed,no breakfast,Social,pain relief,Boswelia Complex,Mebeverine,Gabapentin,Flexeril,Pain management,didn't eat breakfast,slept late,Solpadeine,Cymbalta,vegan,Tramadol,daytime nap,cooked breakfast,mango,Athlete Vitamin,massage,Standing desk,short sleep,Vacation,masturbated,Progressive muscle relaxation,row
,,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,,0.0,,2.0,2.0,,,,2.0,,,,,0.0,,0.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,0.0,2.0,,,,2.0,,2.0,,,,,rest day
,,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,didn't really eat lunch
2.0,,,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Cycling
,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,nap
,0.0,,,,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,coffee
0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,2.0,,,0.0,,2.0,2.0,,,,2.0,,,,,0.0,,0.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,0.0,2.0,,,,2.0,,2.0,,,,,tramadol
,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,decent sleep
,,,0.0,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pepto-bismol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,walked
