8k steps,11k steps,11K steps,Contraceptive pill,Bicarb on scalp,Stretching,5k steps,12K Steps,had sex,Probiotics,Low-FODMAP diet,13k steps,Inolaxol,Multi-vitamin,row
,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,8k steps
0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,11k steps
0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,11K steps
2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,Contraceptive pill
2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,Bicarb on scalp
0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,Stretching
0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,5k steps
0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,12K Steps
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,had sex
2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,Probiotics
2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,Low-FODMAP diet
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,13k steps
2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,0.0,Inolaxol
2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,Multi-vitamin
