Vitamins,Selenium,Echinacea,exercise - dancing,Acetaminophen,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Docosahexaenoic acid,occular migraine meds,Biotin,elliptical,Gravol,Vitamin b complex,flu vaccine injection,No red meat,Seasonique,foot brace,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Iron,Cetirizine,catheter,Folic acid,Iodine,CrossFit,Glycine,Eicosapentaenoic acid,Coenzyme q-10,Vitamin d,Curcumin,row
,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,Vitamins
0.0,,2.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,Selenium
2.0,2.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Echinacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
2.0,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Acetaminophen
2.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5-htp
2.0,2.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Peristeen
2.0,2.0,0.0,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Daytime sleep
0.0,0.0,2.0,,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,Cetirizine hydrochloride
0.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,Docosahexaenoic acid
2.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,occular migraine meds
2.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Biotin
