afternoon coffee,rest day,crafting,danced,2 naps,ate gluten,Woke Up With Alarm,ate legumes,lift x2,cigarettes,slept well again,lift,music,cleaned closet,no breakfast,ate rice,ate dairy,daytime nap,pool,11 hours of sleep,ate grains,row
,,2.0,,0.0,0.0,2.0,,0.0,,2.0,0.0,,0.0,,,,,0.0,2.0,,afternoon coffee
,,,,,0.0,,2.0,,,,,,,0.0,0.0,2.0,0.0,,,2.0,rest day
2.0,,,,2.0,2.0,0.0,,2.0,,0.0,2.0,,2.0,,,,,2.0,0.0,,crafting
,,,,,,,,,0.787570355669,,,1.70710678119,,,,,,,,,danced
0.0,,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,0.0,,,,,0.0,2.0,,2 naps
0.0,0.0,2.0,,0.0,,2.0,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,ate gluten
2.0,,0.0,,2.0,2.0,,,2.0,,0.0,2.0,,2.0,,,,,2.0,0.0,,Woke Up With Alarm
,2.0,,,,2.0,,,,,,,,,2.0,2.0,0.0,2.0,,,0.0,ate legumes
0.0,,2.0,,0.0,0.0,2.0,,,,2.0,0.0,,0.0,,,,,0.0,2.0,,lift x2
,,,0.787570355669,,,,,,,,,1.84117847538,,,,,,,,,cigarettes
2.0,,0.0,,2.0,2.0,0.0,,2.0,,,2.0,,2.0,,,,,2.0,0.0,,slept well again
0.0,,2.0,,0.0,0.0,2.0,,0.0,,2.0,,,0.0,,,,,0.0,2.0,,lift
,,,1.70710678119,,,,,,1.84117847538,,,,,,,,,,,,music
0.0,,2.0,,0.0,0.0,2.0,,0.0,,2.0,0.0,,,,,,,0.0,2.0,,cleaned closet
,0.0,,,,0.0,,2.0,,,,,,,,0.0,2.0,0.0,,,2.0,no breakfast
,0.0,,,,0.0,,2.0,,,,,,,0.0,,2.0,0.0,,,2.0,ate rice
,2.0,,,,2.0,,0.0,,,,,,,2.0,2.0,,2.0,,,0.0,ate dairy
,0.0,,,,0.0,,2.0,,,,,,,0.0,0.0,2.0,,,,2.0,daytime nap
0.0,,2.0,,0.0,0.0,2.0,,0.0,,2.0,0.0,,0.0,,,,,,2.0,,pool
2.0,,0.0,,2.0,2.0,0.0,,2.0,,0.0,2.0,,2.0,,,,,2.0,,,11 hours of sleep
,2.0,,,,2.0,,0.0,,,,,,,2.0,2.0,0.0,2.0,,,,ate grains
