didn't really eat lunch,Low dose pain meds,took nap,smoked,shopped,decent sleep,fast food,ate breakfast,gluten,no sleep last night,dairy,no lunch,alcohol yesterday,Tetralabs Gold Caps,slept late,rest day,Tetralabs Gold Caps CBN,Cefaly Unit,juiced,Seasonique,exercised,Mt. Si ACDC 2x Coco Caps,Maxalt,Flexeril,didn't eat breakfast,fun shopping,new environment,masturbated,row
,,,,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,didn't really eat lunch
,,,,,2.0,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,Low dose pain meds
,,,0.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,2.0,,,0.0,0.0,,took nap
,,0.0,,0.0,,,,,,,,0.0,,,,,,,2.0,,,2.0,,,0.0,0.0,,smoked
,,0.0,0.0,,,,,,,,,0.0,,,,,,,2.0,,,2.0,,,0.0,0.0,,shopped
,2.0,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,decent sleep
0.0,,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,fast food
0.0,,,,,,0.0,,0.0794182181247,,0.0,0.0,,2.0,0.0,,2.0,2.0,0.0,,0.0,2.0,,2.0,0.0,,,0.0,ate breakfast
0.0,,,,,,0.0,0.0794182181247,,,0.0,0.0,,2.0,0.0,,2.0,2.0,0.0,,0.0,2.0,,2.0,0.0,,,0.0,gluten
,2.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,no sleep last night
0.0,,,,,,0.0,0.0,0.0,,,0.0,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,dairy
0.0,,,,,,0.0,0.0,0.0,,0.0,,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,no lunch
,,0.0,0.0,0.0,,,,,,,,,,,,,,,2.0,,,2.0,,,0.0,0.0,,alcohol yesterday
2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,Tetralabs Gold Caps
0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,slept late
,2.0,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,rest day
2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,Tetralabs Gold Caps CBN
2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,Cefaly Unit
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,juiced
,,2.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,2.0,2.0,,Seasonique
0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,,,,2.0,,2.0,0.0,,,0.0,exercised
2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,2.0,,,2.0,Mt. Si ACDC 2x Coco Caps
,,2.0,2.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,,2.0,2.0,,Maxalt
2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,0.0,,,2.0,,,2.0,Flexeril
0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,,,,0.0,didn't eat breakfast
,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,2.0,,,,0.0,,fun shopping
,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,2.0,,,0.0,,,new environment
0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,,masturbated
