Vitamins,Language Learning,Fluids,church,Extra Medications,ASMR,Coffee,busy,Medical Marijuana,Medicinal Herbs,espresso,Daily walk,Exercise--walking,SPD alternative treatments,Weather- rain,Therapy,coffee,Aloe Detox Water,Pet Therapy,Medical marijuana,Superlong nap,breathing exercises,Essential oils,slept 12 hours,Metoprolol,Turmeric,Medication,no sleep,Meditation,massage,TENS Unit,row
,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Vitamins
2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,Language Learning
0.0,2.0,,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Fluids
0.0,2.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,church
0.0,2.0,0.0,0.0,,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Extra Medications
2.0,0.0,2.0,2.0,2.0,,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,ASMR
0.0,2.0,0.0,0.0,0.0,2.0,,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Coffee
2.0,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,busy
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicinal Herbs
2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,espresso
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Daily walk
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Exercise--walking
2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,SPD alternative treatments
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Weather- rain
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,Therapy
