coffee,Flexeril,Mt. Si ACDC 2x Coco Caps,didn't eat breakfast,no breakfast,no lunch,didn't really eat lunch,exercised,dairy,massage,gluten,fast food,Tetralabs Gold Caps,masturbated,slept late,ate breakfast,Tetralabs Gold Caps CBN,row
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,coffee
2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,Flexeril
,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,didn't eat breakfast
0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,no breakfast
0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,no lunch
0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,didn't really eat lunch
0.0,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,exercised
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,dairy
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,massage
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,gluten
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,fast food
,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,masturbated
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,slept late
0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,ate breakfast
,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
