Vitamins,Fluids,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Prednisolone,Strattera,Medical Marijuana,Synthroid,Daily walk,7-keto-dhea,Exercise--walking,Weather- rain,Therapy,Famotidine,Vitamin b complex,Aloe Detox Water,therapy session,Coffee,Astelin,Vitamin C,Essential oils,Vitamin b12,Meditation,Turmeric,Allegra,Klonopin,Goth clubbing,Singulair,Fish oil,CoQ10,Allergy Shots,Zinc,Vitamin d,Melatonin,Extra Medications,massage,row
,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Vitamins
0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Fluids
,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Acupuncture
,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,birth control
,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Magnesium glycinate
,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5-htp
,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nasonex
,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Claritin
,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,tumeric extract
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisolone
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Strattera
0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Medical Marijuana
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Synthroid
0.0,0.0,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-keto-dhea
0.0,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Exercise--walking
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Weather- rain
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Therapy
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Famotidine
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vitamin b complex
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Aloe Detox Water
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,therapy session
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,Coffee
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Astelin
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vitamin C
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,Essential oils
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vitamin b12
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,Meditation
0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,Turmeric
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Allegra
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Klonopin
