Wear shoulder brace,didn't really eat lunch,napped well,grapes,Buteyko  breathing exercises ,More stretching,allergy shot,fast food,3 drinks,marijuana,Protecting back,had sex,walked,Lying flat,Miralax low dose at night,Woke Up With Alarm,drank alcohol,breakfast,Better sleep,fuck yeah avocado,took a bath ,ate breakfast,haircut,washing up,busy,cooked breakfast,Zofran,Hydroxyzine,vacation,gluten free,bed day,nap,dairy,dairy free,party,Ambien CR,banana,exercise,ate red meat,cuddled kitten,Oxynorm,Slept well,gluten,coconut,Weighted Blanket,Superlong nap,read science book,had sex ,blowjob,listen to music ,heating pads,Norco,very little sleep,heavy physcial exertion,Late lunch,mass transit,read book,grains,Freezie wrap,didn't eat breakfast,no breakfast,ate grains,studied,cuddles!,Awesome cheat day,had sex last night,12K Steps,new environment,bed late,butternut squash risotto,Poor sleep (hotel),cocodamol,ate at a restaurant,drawing,short nap,row
,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Wear shoulder brace
,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,didn't really eat lunch
0.0,,,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,napped well
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,grapes
,,,,,,2.0,,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0,,,,,,,2.0,,,Buteyko  breathing exercises 
0.0,,0.0,,,,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,More stretching
,,,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,allergy shot
,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,fast food
0.0,,0.0,,,0.0,,,,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,3 drinks
,,,,2.0,,0.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,marijuana
