chocolate chips,Diazepam,dried fruit & pumpkin seeds,golden beet,Ex bike,lettuce,had sex,chicken,fuck yeah avocado,ate breakfast,hiking,3 brazil-nuts,cashew ice cream,lettuce mix,Daily walk,Ginkgo,cashews,acorn squash,Off work,raspberries,olive tapenade,Steps,limes,cough syrup,Sleep,coconut flakes,sweet potato,Meditation,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate chips
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried fruit & pumpkin seeds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,golden beet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex bike
,,,,,,,,,,,,,,,,,,,,,,,,,,,,lettuce
,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 brazil-nuts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cashew ice cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,lettuce mix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cashews
,,,,,,,,,,,,,,,,,,,,,,,,,,,,acorn squash
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,raspberries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive tapenade
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,limes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cough syrup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,coconut flakes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweet potato
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
