Home physio exercises,Bunny snuggles,family,Cod liver oil,physical therapy,IVIG,snuggles,Prilosec,ironing,long shopping  trip,Osteopathy,sex,Lots of kitty love,cake,Beer,Lots of cleaning,Pantoprazole,aqua therapy,dozed,Went out on date,played video games,Metformin,Lots of travel,ate breakfast,snuggly cat,party,Vitamin D3,Prednisone,trying to clean the house,Citalopram,walked,travel,Zantac,met a new cat,bunny cuddles,cooking,Physio,Topiramate,Psyllium husk,long walk,ponstan,Puppies,drank alcohol,slept late,bbq,Paracatamol with codeine,Ranitidine,exercised,Excedrin,Ligament Restore,very active aqua class,stress,Progesterone,Vitamin B,Migraine herb feverfew tablets,slept in,Magnesium,Tranexamic acid,Bunny cuddles,swimming,Pokemon go,Daytime nap,popcorn,lots of walking,picnic,masturbated,Gardening,Went out on adventures,home alone,went swimming,Lazy day,Zomig,psychologist,not great sleep,worked in garden,climbed stairs,new environment,exercise,Late sleep,Methotrexate,had sex,Multi-vitamin,soft drink,pasta and veggies,Imodium,row
,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Home physio exercises
0.0,,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Bunny snuggles
2.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,family
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
2.0,2.0,0.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,physical therapy
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,IVIG
2.0,2.0,0.0,,0.0,,,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,snuggles
0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Prilosec
2.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,ironing
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,long shopping  trip
