Diazepam,Ex bike,Ranitidine,Acetyl Carnitine,Lithium,Sunlight,Albuterol Inhaler,Naproxen,Acetaminophen,Amitriptyline,birth control,Magnesium glycinate,Melatonin,N-Acelcysteine,5-htp,Nasonex,Claritin,pilates,Strattera,Creatine,Clonazepam,Ecural,Magnesium gel,Daily walk,Excedrin,Diclofenac,Famotidine,Turmeric,Vitamin b complex,Multi vitamin,Topical ibuprofen,Ligament Restore,Wore arch supports all day,Standing desk,therapy session,Stretching,Astelin,SAD Light Box,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,Vitamin D3,Steps,Magnesium,5 or more portions of fruit and veg,Panamax,THC,cocodamol,Prednisone,Allegra,Klonopin,Cetirizine,Singulair,Benadryl,Fish oil,Ibuprofen 600mg,cough syrup,Tizanidine,Rest,CoQ10,Cranberry extract,Vitamin b12,Sleep,Post-op ice device,Zinc,Vitamin d,Soluble Aspirin,Meditation,Nortriptyline,massage,linseed,row
,0.0,,,,,,0.000297490645132,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0138548229568,,,,Diazepam
0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,Ex bike
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,Ranitidine
,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,Acetyl Carnitine
,,,0.0,,,,,,,,,,0.0,,,,,,0.000109980325733,0.000166978190039,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.198849354101,,,,,,,,,,,,,,,,,2.0,0.0,,0.000477922656875,,0.0,Lithium
,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,Sunlight
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,Albuterol Inhaler
0.000297490645132,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0181941868852,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,-2.22044604925e-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,Amitriptyline
