hiking,danced,family,baked a cake,fast food,drank alcohol,Strattera,vacation,Dexedrine,Clarithromycin,worked out,holiday,exercise,toast and vegg,Superlong nap,butternut squash risotto,heating pads,Lamictal,worked,Car travel,Klonopin,slept in,new environment,Ate Terribly,row
,0.0,,,2.0,,,0.0,,,,,,0.0,0.0,0.0,2.0,,,,,,0.0,,hiking
0.0,,0.0,2.0,1.99388373467,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.00712316151308,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,danced
,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,2.0,family
,2.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,0.0,baked a cake
2.0,1.99388373467,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.99996152884,2.0,0.0,,2.0,2.0,,2.0,2.0,0.0,fast food
,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,2.0,drank alcohol
,2.0,2.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,0.0,Strattera
0.0,0.0,,,2.0,,,,,,,,,0.0,0.0,0.0,2.0,,,,,,0.0,,vacation
,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,0.0,Dexedrine
,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,0.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,0.0,Clarithromycin
,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,0.0,worked out
,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,2.0,holiday
,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,exercise
0.0,0.0,,,2.0,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,0.0,,toast and vegg
0.0,0.00712316151308,0.0,2.0,1.99996152884,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,Superlong nap
0.0,0.0,,,2.0,,,0.0,,,,,,0.0,0.0,,2.0,,,,,,0.0,,butternut squash risotto
2.0,2.0,,,0.0,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,,heating pads
,,,,,,,,,,,,,,,,,,,,0.0,,,,Lamictal
,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,2.0,worked
,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,,,0.0,,2.0,Car travel
,,,,,,,,,,,,,,,,,0.0,,,,,,,Klonopin
,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,slept in
0.0,0.0,,,2.0,,,0.0,,,,,,0.0,0.0,0.0,2.0,,,,,,,,new environment
,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,,,Ate Terribly
