Coffee,Aloe Detox Water,Vitamins,Medical Marijuana,Multivitamin,Fluids,Daily walk,Essential oils,Weather- rain,Exercise--walking,Iron,Vitamin d,Amitriptyline,Therapy,Meditation,Extra Medications,massage,Turmeric
,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0
0.0,,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0
0.0,0.0,,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0
,,,,,,,,,,0.0,0.0,,,,,,
2.0,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0
2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0
2.0,2.0,2.0,2.0,,0.0,0.0,,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,0.0,2.0
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,,,,,0.0,2.0,2.0,2.0,0.0
,,,,0.0,,,,,,,0.0,,,,,,
,,,,0.0,,,,,,0.0,,,,,,,
,,,,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,,0.0,0.0,2.0
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,
