gardening,Vitamins,Language Learning,Fluids,Diary,gluten ,church,snack lunch,drank alcohol,Extra Medications,ASMR,Coffee,busy,Gluten,donut,Medical Marijuana,skipped meals,Taco Bell,espresso,ate little,Daily walk,Exercise--walking,Iceburg Lettuce,SPD alternative treatments,Weather- rain,Therapy,coffee,Aloe Detox Water,Pet Therapy,Medical marijuana,breathing exercises,Essential oils,slept 12 hours,little breakfast,juiced,Turmeric,Medication,Hiking,studied,no sleep,Tylenol,Meditation,massage,TENS Unit,row
,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,gardening
,,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Vitamins
,0.0,,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Language Learning
,0.0,0.0,,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Fluids
0.0,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,Diary
0.0,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,gluten 
,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,0.0,,,2.0,,,0.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,church
0.0,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,snack lunch
0.0,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,drank alcohol
,0.0,0.0,0.0,,,2.0,,,,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Extra Medications
,0.0,0.0,0.0,,,2.0,,,0.0,,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,ASMR
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Coffee
,2.0,2.0,2.0,,,0.0,,,2.0,2.0,2.0,,,,2.0,,,0.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,busy
0.0,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,Gluten
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,donut
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Medical Marijuana
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,skipped meals
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,Taco Bell
,2.0,2.0,2.0,,,0.0,,,2.0,2.0,2.0,0.0,,,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,espresso
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,ate little
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Daily walk
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Exercise--walking
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,,,,Iceburg Lettuce
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,SPD alternative treatments
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Weather- rain
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Therapy
,2.0,2.0,2.0,,,0.0,,,2.0,2.0,2.0,0.0,,,2.0,,,0.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,coffee
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Aloe Detox Water
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Pet Therapy
,2.0,2.0,2.0,,,0.0,,,2.0,2.0,2.0,0.0,,,2.0,,,0.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,Medical marijuana
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,breathing exercises
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,Essential oils
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,slept 12 hours
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,2.0,,,0.0,0.0,,0.0,,,,little breakfast
2.0,,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,2.0,2.0,,2.0,,,,juiced
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,0.0,,,2.0,,0.0,0.0,0.0,Turmeric
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,,,,2.0,,0.0,0.0,0.0,Medication
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,,Hiking
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,studied
,2.0,2.0,2.0,,,0.0,,,2.0,2.0,2.0,0.0,,,2.0,,,0.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,no sleep
0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,2.0,,,0.0,0.0,,,,,,Tylenol
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,,0.0,0.0,Meditation
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,,0.0,massage
,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,2.0,,,0.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,,TENS Unit
