Mersyndol Forte,Cat ,sushi,hiking,physical therapy,Singing,Ibuprofen,housework,walked,Cat,Nap,rice noodles,Exercise--walking,no lunch,over ate,elliptical,ironing,slept in chair,Writing,active morning,Cambia,row
,,,,,,2.0,,,,,,0.0,,,,,,,0.0,0.0,Mersyndol Forte
,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,0.0,,2.0,0.0,,2.0,2.0,,0.0,Cat 
,2.0,,2.0,,2.0,0.0,,,0.0,,0.0,2.0,,0.0,2.0,,0.0,0.0,,2.0,sushi
,0.0,2.0,,,0.0,2.0,,,2.0,,2.0,0.0,,2.0,0.0,,2.0,2.0,,0.0,hiking
,,,,,,,,,,,,,,,,,,,,,physical therapy
,0.0,2.0,0.0,,,2.0,,,2.0,,2.0,0.0,,2.0,0.0,,2.0,2.0,,0.0,Singing
2.0,2.0,0.0,2.0,,2.0,,,,0.0,,0.0,1.79409336163,,0.0,2.0,,0.0,0.0,2.0,1.79409336163,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,walked
,2.0,0.0,2.0,,2.0,0.0,,,,,0.0,2.0,,0.0,2.0,,0.0,0.0,,2.0,Cat
,,,,,,,,,,,,,,,,,,,,,Nap
,2.0,0.0,2.0,,2.0,0.0,,,0.0,,,2.0,,0.0,2.0,,0.0,0.0,,2.0,rice noodles
0.0,0.0,2.0,0.0,,0.0,1.79409336163,,,2.0,,2.0,,,2.0,0.0,,2.0,2.0,0.0,2.22044604925e-16,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,no lunch
,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,2.0,over ate
,0.0,2.0,0.0,,0.0,2.0,,,2.0,,2.0,0.0,,2.0,,,2.0,2.0,,0.0,elliptical
,,,,,,,,,,,,,,,,,,,,,ironing
,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,2.0,,0.0,2.0,,,0.0,,2.0,slept in chair
,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,2.0,,0.0,2.0,,0.0,,,2.0,Writing
0.0,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,active morning
0.0,0.0,2.0,0.0,,0.0,1.79409336163,,,2.0,,2.0,2.22044604925e-16,,2.0,0.0,,2.0,2.0,0.0,,Cambia
