Mersyndol Forte,Cat ,sushi,hiking,physical therapy,Singing,Ibuprofen,housework,walked,Cat,Nap,rice noodles,Exercise--walking,no lunch,over ate,elliptical,ironing,slept in chair,Writing,active morning,Cambia,row
,,,,,,,,,,,,,,,,,,,,,Mersyndol Forte
,,,,,,,,,,,,,,,,,,,,,Cat 
,,,,,,,,,,,,,,,,,,,,,sushi
,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,Singing
,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,walked
,,,,,,,,,,,,,,,,,,,,,Cat
,,,,,,,,,,,,,,,,,,,,,Nap
,,,,,,,,,,,,,,,,,,,,,rice noodles
,,,,,,,,,,,,,,,,,,,,,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,no lunch
,,,,,,,,,,,,,,,,,,,,,over ate
,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,,,,,,,,,,,,,,,,,ironing
,,,,,,,,,,,,,,,,,,,,,slept in chair
,,,,,,,,,,,,,,,,,,,,,Writing
,,,,,,,,,,,,,,,,,,,,,active morning
,,,,,,,,,,,,,,,,,,,,,Cambia
