Home physio exercises,gluten free diet,Prilosec,Osteopathy,Pantoprazole,aqua therapy,Metformin,alcohol free,Prednisone,Brintellix,Citalopram,Candesartan,excedrin migraine,Physio,Topiramate,ponstan,Paracatamol with codeine,Ranitidine,Ibuprofen,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Mangosteen,THC,Swimming,Tylenol,Tolterodine,psychologist,Phentermine,Vitamin d,Methotrexate,Multi-vitamin,Resrticted diet,Imodium,row
,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Home physio exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Osteopathy
0.0,,,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Pantoprazole
0.0,,,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,aqua therapy
0.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brintellix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Candesartan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
0.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Physio
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Topiramate
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,ponstan
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Paracatamol with codeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Ibuprofen
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Vitamin B
2.0,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,,,Migraine herb feverfew tablets
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,0.0,,,,,,0.0,,,,0.0,,,Magnesium
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,,,,,,,0.0,,,,0.0,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mangosteen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swimming
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Tylenol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,,,psychologist
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Phentermine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,,,,Multi-vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Resrticted diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imodium
