AM meds,BeachBody OnDemand,Cyclizine,Meticorten,Acetyl-l-carnitine,Cold Pack,Florinef,Calcium Suplment,8 hours of sleep,Calcort,Solifenacin,Hydrocortisone,Prednisolone,Ibuprofen 600mg,Spinal epidural,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Gravol,Piyo,Ketotifeno,Ritalin,Probiotic,Excedrin,Stretching,thyroid support complex,TigerBalm,Bagomicina,Vitamin d+calcium,Wellbutrin,Allegra,PeaPure,Vicodin,Singulair,Methylprednisolone,Allopurinol,Ginger,Montelukast,Vitamin b12,Sleep,Colesevelam,Zinc,Tylenol,Passionflower,Diphenhydramine,Questran,row
,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,Meticorten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,Acetyl-l-carnitine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
2.0,,,,,,,,,,,0.000687799832323,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,Calcium Suplment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 hours of sleep
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,Calcort
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
2.0,,,,,,0.000687799832323,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,Hydrocortisone
,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,Prednisolone
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 600mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinal epidural
,,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,digestive enzyme
,,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,Ingefära
,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
