Home physio exercises,Prilosec,Osteopathy,Pantoprazole,aqua therapy,Metformin,Prednisone,Citalopram,Physio,Topiramate,ponstan,Paracatamol with codeine,Ranitidine,Progesterone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Zomig,psychologist,Methotrexate,Multi-vitamin,Imodium,row
,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Home physio exercises
,,,,,,,,,,,,,,,,,,,,,,,Prilosec
0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Osteopathy
0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Pantoprazole
0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,aqua therapy
0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,Citalopram
0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Physio
0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Topiramate
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,ponstan
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Paracatamol with codeine
,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,Progesterone
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,,Vitamin B
2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,Migraine herb feverfew tablets
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,Magnesium
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,,Tranexamic acid
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,,Zomig
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,,psychologist
,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,Multi-vitamin
,,,,,,,,,,,,,,,,,,,,,,,Imodium
