Tyrosine,Epsom Salts,gluten free diet,CuraMed,Fluvoxamine,Methylphenidate,Selenium,Lavender oil,Voltaren,Ropinirole,Plaquenil,Burbur-Pinella,Magnesium,Midodrine,Topiramate,Low Dose Naltrexone,N-acetyl cysteine,Gaba,Inositol,Magnesium malate,Green Vibrance,row
,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,gluten free diet
,0.0,,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,CuraMed
,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,Selenium
,0.0,,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,Lavender oil
,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,,,,,,,,Plaquenil
,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Burbur-Pinella
,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,N-acetyl cysteine
,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,Gaba
,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,Inositol
,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,,0.0,Magnesium malate
,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,Green Vibrance
