Ritalin,BeachBody OnDemand,Cyclizine,Albuterol Inhaler,Florinef,Solifenacin,Darifenacin,Probiotic,Ibuprofen 600mg,digestive enzyme,Ribose,Monteluklast,Feverfew,Carbomer eye drops,alverine,Piyo,Benadryl,Ranitidine,SAM-E,Excedrin,Vitamin d,TigerBalm,Calcium citrate,Vitamin C,Cetraben cream,Turmeric,Cetirizine,Guarana & Ginseng,Ginger,Hydrocortisone,Vitamin b12,Cerelle,Passionflower,row
,2.0,1.96202844406,,2.0,1.99914831476,0.0,1.79828804232,,2.0,0.0,0.0,1.79828804232,0.0,0.0,2.0,,,0.0,,,2.0,,,0.0,,,0.0,0.0,2.0,1.79828804232,0.0,1.79828804232,Ritalin
2.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,BeachBody OnDemand
1.96202844406,0.0,,,0.0,0.0275281650994,0.0,0.0676334770815,,0.0,0.0,0.0,0.0676334770815,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0676334770815,0.0,0.0676334770815,Cyclizine
,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,Albuterol Inhaler
2.0,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,Florinef
1.99914831476,0.0,0.0275281650994,,0.0,,2.0,0.177540066771,,0.0,2.0,2.0,0.177540066771,2.0,2.0,0.0,,,2.0,,,0.0,,,2.0,,,2.0,2.0,0.0,0.177540066771,2.0,0.177540066771,Solifenacin
0.0,,0.0,,,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,Darifenacin
1.79828804232,0.0,0.0676334770815,,0.0,0.177540066771,0.0,,,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,-2.22044604925e-16,0.0,-2.22044604925e-16,Probiotic
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Ibuprofen 600mg
2.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,digestive enzyme
0.0,,0.0,,,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,Ribose
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,Monteluklast
1.79828804232,0.0,0.0676334770815,,0.0,0.177540066771,0.0,-2.22044604925e-16,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,-2.22044604925e-16,0.0,-2.22044604925e-16,Feverfew
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,Carbomer eye drops
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,alverine
2.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,Piyo
,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,Benadryl
,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,Ranitidine
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,SAM-E
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,Vitamin d
2.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,TigerBalm
,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,Calcium citrate
,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,Vitamin C
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,Cetraben cream
,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,Turmeric
,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,,Cetirizine
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,Guarana & Ginseng
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,Ginger
2.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,Hydrocortisone
1.79828804232,0.0,0.0676334770815,,0.0,0.177540066771,0.0,-2.22044604925e-16,,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,-2.22044604925e-16,Vitamin b12
0.0,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,Cerelle
1.79828804232,0.0,0.0676334770815,,0.0,0.177540066771,0.0,-2.22044604925e-16,,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,-2.22044604925e-16,0.0,,Passionflower
