neck massage,lots of walking,hiking,travel,Superlong nap,Acetaminophen,Marijuana,housework,had sex,Ibuprofen,ate breakfast,row
,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,neck massage
0.0,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,lots of walking
0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,hiking
2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,2.0,2.0,travel
0.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,Superlong nap
2.0,2.0,2.0,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,Acetaminophen
2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,Marijuana
0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,0.0,housework
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,had sex
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,Ibuprofen
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,ate breakfast
