Yoga,Ropinirole,Zantac,Fluvoxamine,Prilosec,Tavegyl,mountain biking,Exercise,Tyrosine,Claritin,Citalopram,Methylphenidate,gluten free diet,Topiramate,Dexedrine,Citrucel,Chiropractic,Codeine,Spironolactone,Voltaren,Dinner,Steps,Magnesium,Midodrine,Adderall,pur-absorb iron,THC,Love,Fish oil,Ultrasound,Vitamin d,Prednesone,Resrticted diet,massage,Plaquenil,row
,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Yoga
0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Ropinirole
,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Zantac
0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Fluvoxamine
,,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Prilosec
0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Tavegyl
0.0,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,mountain biking
0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Exercise
0.0,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Tyrosine
,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Claritin
,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Citalopram
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Methylphenidate
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,gluten free diet
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.136182776098,0.0,,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Citrucel
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Chiropractic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Spironolactone
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,Voltaren
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Dinner
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,Steps
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136182776098,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,Magnesium
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,Midodrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,2.0,2.0,,0.0,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,THC
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,Love
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,2.0,,0.0,,Fish oil
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,Ultrasound
,,2.0,,2.0,,,,,2.0,2.0,,,2.0,,2.0,,,2.0,,2.0,2.0,2.0,,,2.0,,,2.0,,,0.0,,2.0,,Vitamin d
,,2.0,,2.0,,,,,2.0,2.0,,,2.0,,2.0,,,2.0,,2.0,2.0,2.0,,,2.0,,,2.0,,0.0,,,2.0,,Prednesone
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Resrticted diet
,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,2.0,,,,massage
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,Plaquenil
