Metoprolol,Medications,Viibryd,gluten free diet,physical therapy,Fluvoxamine,Vyvanse,Sunlight,adapten-all,Levothyroxine,birth control,mountain biking,Magnesium glycinate,Nabumetone,neuro,Exercise,5-htp,Nasonex,Claritin,Strattera,Fluoxetine,Clonazepam,Methylphenidate,Armodafinil,Coenzyme q-10,Walking,gluten free,Plaquenil,Dermatologist,Topiramate,Hydroxychloroquine,Tyrosine,Vitamin b complex,therapy session,Ibuprofen,Astelin,Caffeine,Vitamin C,Voltaren,Magnesium,Midodrine,Iodine,fiber art - sewing,THC,Famotidine,psychiatrists,Allegra,Klonopin,dexamphetamine,Quell Unit,Singulair,Sertraline,Fish oil,CoQ10,Ultrasound,Vitamin b12,Cabergoline,Post-op ice device,Zinc,Vitamin d,Love,Melatonin,counselor,Thyroid-Pro,Meditation,Ropinirole,row
,,0.0,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,Metoprolol
,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,0.0,,,,Medications
0.0,,,2.0,,,,,,6.77085284473e-06,,,,,,2.0,,,,,1.76182805669,,,0.12656588843,,,0.0,,,,,,,,,,0.0990954209753,,,,,,,,,,,,,,,,,,,,0.107366028941,,,,,,,,0.0364698746261,,Viibryd
2.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,,,,0.0,,0.0,2.0,,,2.0,0.0,,0.0,,0.0,,,,,2.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,0.0,2.0,0.0,gluten free diet
,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,0.0,,,,physical therapy
,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Fluvoxamine
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Vyvanse
,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,adapten-all
0.0,,6.77085284473e-06,2.0,,,,,,,,,,,,2.0,,,,,1.75943913581,,,0.128363701204,,,0.0,,,,,,,,,,0.100698660557,,,,,,,,,,,,,,,,,,,,0.109030906004,,,,,,,,0.0374611392056,,Levothyroxine
