Triamcinolone Lotion,hiking,Hemorrhoid Cream,Nap,drank lots of water,had sex,Inflamma-blox,Melatonin,yoga,Prednisone,spinach,Ocella,Taco Bell,Flonase,Sauna,walked the dogs,nap,Diary,Iceburg Lettuce,Fructose,exercise,Humira,Neti Pot,Daytime nap,Vitamin C,butternut squash risotto,Iron,fructose,day at home,Gluten,Car travel,archery,Triamcinolone Cream,Hiking,new environment,Fish oil,studied,hydrocortisone suppository ,puppy training,fructose ,Fishing,Tylenol,Late lunch,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triamcinolone Lotion
,,-1.0,,,,,,,-1.0,,,,-1.0,,,,,,,,-1.0,,,1.0,,-1.0,,,,,,-1.0,,,,,,,,,,,hiking
,-1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,-1.0,,1.0,,,,,,1.0,,,,,,,,,,,Hemorrhoid Cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drank lots of water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflamma-blox
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yoga
,-1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,-1.0,,1.0,,,,,,1.0,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ocella
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taco Bell
,-1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,-1.0,,1.0,,,,,,1.0,,,,,,,,,,,Flonase
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walked the dogs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceburg Lettuce
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fructose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
,-1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,-1.0,,1.0,,,,,,1.0,,,,,,,,,,,Humira
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neti Pot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime nap
,1.0,-1.0,,,,,,,-1.0,,,,-1.0,,,,,,,,-1.0,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butternut squash risotto
,-1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,-1.0,,,,,,,,1.0,,,,,,,,,,,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fructose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day at home
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archery
,-1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,Triamcinolone Cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,studied
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydrocortisone suppository 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,puppy training
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fructose 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fishing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late lunch
