didn't really eat lunch,Slept,wear mask,Naproxen,Ambien CR,Miralax low dose at night,ate breakfast,afternoon coffee,busy,family,good breakfast,excerise,met a new cat,sugar,Plaquenil,woke up late,Gravol,rice,Vitamin b complex,L-theanine,coffee,haircut,Mt. Si ACDC 2x Coco Caps,butternut squash risotto,Better sleep,green tea,THC,Famotidine,playing music,Swimming,Allegra,Flexeril,Slept a lot,Physical therapy,lifted weights,Fish oil,ate potato,no caffeine,Rest,daytime nap,cuddled kitten,Post-op ice device,light breakfast,AOR Zinc-Copper Balance,cocodamol,masturbated,drank a lot,Dancing,bed day,Aleve,3 drinks,made challah,fast food,very little sleep,Claritin,Strattera,no sleep,Zofran,Hydroxyzine,meds,ate peppers,creative writing,Low-FODMAP diet,worked out,exercise,snuggly cat,Buffered Salmon Oil - DHA - EPA,Slept well,Tetralabs Gold Caps CBN,Off work,sugar yesterday,Woke Up With Alarm,Superlong nap,Vitamin C,listen to music ,Tavegyl,Sisu B Calm,Breakfast,Klonopin,Medication,CBD,healthy dinner,studied,Coffee with sugar and cream,drank wine,Vitamin b12,bed late,beans,Vitamin d,Ice pack,Late lunch,Onions,massage,napped well,no breakfast,hiking,More stretching,physical therapy,short nap,shopped,had sex,Lying flat,ate cooked nightshades,Biosil,vacation,Therapy,dairy,slept late,Work,Oxynorm,shopping,gluten,Trigger Points,ate eggs,coursera,>50 oz water,Deep rest,slept in,Sunlight,worked,Thyroid-Pro (CanPrev),Slept during day,salad,didn't eat breakfast,stool softener,ate potato chips,Zinc,Tylenol,Melatonin,Wear shoulder brace,coconut,Alcohol,Migraine Diet,allergy shot,marijuana,Provigil,honey,prayer,drank alcohol,Magnesium glycinate,5-htp,colofac mr,Nasonex,B12 timed release,eye ointment,gluten free,Fruit,Exercise--walking,no lunch,Zopiclone,dairy free,ate dairy,party,Tetralabs Gold Caps,beach,gaming,Protecting back,strapping of shoulder,Astelin,exercised,mass transit,heating pads,Norco,Adderall,heavy physcial exertion,Freezie wrap,Singulair,drive,walked,cooked,Sleep,long walk,drawing,l-theanine,row
,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,wear mask
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,2.0,,2.0,2.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,0.0,0.0,,0.00303382842347,2.40425885538e-05,0.0,,,,,,,,2.0,,,,2.0,,0.0,2.0,,,,0.0,,0.0,,2.0,,,0.0,2.0,,0.0,0.0,2.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,0.0,2.0,0.0,,,,,,,2.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,2.0,,,,0.0,0.0,0.0,,2.0,0.00237424152383,0.00135882162528,,2.0,0.0,0.0,,2.0,,,,0.0,,Ambien CR
,,,,0.0,,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,Miralax low dose at night
2.0,,,,,,,,2.0,,2.0,,,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,0.023812939816,,,,,,,,,,,,2.0,,,0.0,,,2.0,2.0,,,,0.0,,,,,,,,0.353013625365,,,,,,,,1.08468564695,,,,,2.0,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,,1.99119653194,2.0,0.0,,2.0,2.0,,,2.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,0.0,2.0,,,,,ate breakfast
,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,afternoon coffee
,,,,2.0,2.0,2.0,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,0.0,,0.0,,,,2.0,2.0,,,,,,2.0,,,0.0,,,,0.0,,,0.0,,,0.0,,,,2.0,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,0.0,,,2.0,0.0,,,,0.0,,,2.0,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,0.0,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,0.0,,,2.0,,busy
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,family
,,,,,,2.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,good breakfast
,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,excerise
