Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Butterbur,Pantoprazole,Metformin,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Benadryl,Enada,Ibuprofen,Progesterone,Vitamin B,Medication,Tranexamic acid,Flexeril,excedrin migraine,Zomig,Montelukast,Vitamin d,Corticosteroids,row
,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Dicyclomine
2.0,,2.0,2.0,0.0,,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,Tretinoin
0.0,2.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Phyical Therapy - stretches
0.0,2.0,0.0,,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Osteopathy
2.0,0.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,Butterbur
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
0.0,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Metformin
0.0,2.0,0.0,0.0,2.0,,0.0,,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Zolmitriptan
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Clinda-derm
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,Ubiquinol
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Benadryl
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,0.0,2.0,0.0,Progesterone
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,,0.0,,2.0,,,0.0,2.0,0.0,Vitamin B
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,,,0.0,2.0,0.0,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,,,,2.0,0.0,2.0,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,,2.0,0.0,Montelukast
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,2.0,,2.0,Vitamin d
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,2.0,,Corticosteroids
