ate well,Coconut Oil Pulling,Superlong nap,Ate healthy,amphetamine salts,Lymphatic massage,shopping,Valcyte,Selenium,Gelatin,nap,had sex,Borage oil,Gardening,Valtrex,ate breakfast,lots of walking,row
,,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,ate well
,,,,,,,,,0.0,,,0.0,,,,,Coconut Oil Pulling
0.0,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,Superlong nap
0.0,,0.0,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,Ate healthy
,,,,,,,,,0.0,,,0.0,,,,,amphetamine salts
0.0,,0.0,0.0,,,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,Lymphatic massage
0.0,,0.0,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,shopping
2.0,,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,2.0,0.0,2.0,2.0,Valcyte
,,,,,,,,,,,,,,,,,Selenium
,0.0,,,0.0,,,,,,,,0.0,,,,,Gelatin
0.0,,0.0,0.0,,0.0,0.0,2.0,,,,0.0,,0.0,2.0,0.0,0.0,nap
0.0,,0.0,0.0,,0.0,0.0,2.0,,,0.0,,,0.0,2.0,0.0,0.0,had sex
,0.0,,,0.0,,,,,0.0,,,,,,,,Borage oil
0.0,,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,2.0,0.0,0.0,Gardening
2.0,,2.0,2.0,,2.0,2.0,0.0,,,2.0,2.0,,2.0,,2.0,2.0,Valtrex
0.0,,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,0.0,ate breakfast
0.0,,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,0.0,,lots of walking
