Vitamin C,Humira,Prednisone,Hemorrhoid Cream,hydrocortisone suppository ,Fish oil,Neti Pot,Codeine,Flonase,Triamcinolone Cream,Dexedrine,Iron,Adderall,Ocella,Gabapentin,row
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,Vitamin C
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,Humira
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,Prednisone
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,Hemorrhoid Cream
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,hydrocortisone suppository 
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,Fish oil
0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,Neti Pot
,,,,,,,,,,,,,,,Codeine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,Flonase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,Triamcinolone Cream
,,,,,,,,,,,,,,,Dexedrine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,Iron
,,,,,,,,,,,,,,,Adderall
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,Ocella
,,,,,,,,,,,,,,,Gabapentin
