worn out,time difference,tired,Anxious about work,Anxious when not active,lack of sleep,Did not sing in church,At Mom and Dad's,Headache after exercising outdoors,ate red meat,pms,ate breakfast,exam,busy day,busy,feeling down,alcohol,bored,distracted,expectations,dairy,Felt rested in the morning,Visited the Park,not in a rush,injury,menstruating,happy,melancholy,Rested in evening,Bible study night,No milk,Bloated,Superlong nap,Anxious,ate bread,cleaning,slow coagulation,Red Dragon Con,ate lunch,Long drive,Hangry,sore foot,anxiety,grains,heavy nosebleed,ate grains,Legs hurt in evening,good sleep,bad sleep,Spotting,restless sleep,Neurologist appointment,Felt better after walk,ate at a restaurant,nosebleed,stressed,row
,,2.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,worn out
,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,time difference
2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,2.22044604925e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.589218772797,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.22044604925e-16,tired
0.0,,2.0,,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,Anxious about work
0.0,,2.0,0.0,,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,Anxious when not active
,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,lack of sleep
0.0,,2.0,0.0,0.0,,,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,Did not sing in church
2.0,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,At Mom and Dad's
2.0,,0.0,2.0,2.0,,2.0,0.0,,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,Headache after exercising outdoors
,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,ate red meat
,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,pms
2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.22044604925e-16,0.0,1.11022302463e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.589218772797,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.11022302463e-16,ate breakfast
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,exam
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,busy day
2.0,0.0,1.11022302463e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,,0.0,3.33066907388e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.589218772797,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.22044604925e-16,busy
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,feeling down
2.0,0.0,2.22044604925e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,0.0,3.33066907388e-16,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.589218772797,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.11022302463e-16,alcohol
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,bored
0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,1.11022302463e-16,2.0,0.0,2.0,0.0,2.0,0.0,1.4107812272,1.11022302463e-16,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.11022302463e-16,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,distracted
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,expectations
0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.22044604925e-16,2.0,,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,0.0,2.0,0.0,2.0,0.0,1.4107812272,2.22044604925e-16,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,dairy
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,Felt rested in the morning
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,Visited the Park
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,not in a rush
