long drive,gal meeting,stressed,uneventful,tired,sleepy,foccacia,had sex,stomach pain,ate breakfast,chilled with friends,Pain,alcohol,Relaxing,Herx,exercise,Visited Family,cancelled 1 of 2 meetings,Bloated,Superlong nap,fatique,grapes,Stayed on diet,bath with epsom salt,Ate before bed,Sad,12K Steps,pineapple,social interaction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,
,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,
,0.0,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,
,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,
,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,
,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,
,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,
,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,
,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,
,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,0.0,0.0,
,,,,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,,
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,0.0,
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,,
,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,,,2.0,,,,2.0,2.0,2.0,
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,,
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,,0.0,0.0,
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,,0.0,
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
