Multi vitamin,journaling,Coffee,Stretching,Dancing,media,Ligament Restore,Flonase,walking dogs,Marijuana,Vitamin C,Amitriptyline,video games,porn,Exercise,row
,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Multi vitamin
2.0,,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,journaling
0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Coffee
2.0,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,Stretching
2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,Dancing
0.0,2.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,media
2.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,Ligament Restore
0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Flonase
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,walking dogs
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,Marijuana
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,Vitamin C
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,Amitriptyline
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,video games
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,porn
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Exercise
