Albuterol,Vitamins,Cod liver oil,IVIG,Naproxen,early night,played video games,ate breakfast,snuggly cat,lots of desk work,Vitamin D3,Prednisone,good breakfast,Zantac,nap,Psyllium husk,normal sleep,Self care,Dexedrine,coffee,ate badly,Walked a lot,playing music,Swimming,lifted weights,Marijuana,12K Steps,exercise,AOR Zinc-Copper Balance,Breakfast,masturbated,cookies,picnic,Dancing,Acetaminophen,eating out,cooking,Went to concert,Biotin,creative writing,worked out,made challah,Buffered Salmon Oil - DHA - EPA,Off work,Superlong nap,busy,Lamictal,Tavegyl,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,neck massage,Klonopin,slept in,Cetirizine,healthy dinner,studied,oatmeal,new environment,Vitamin d,Methotrexate,Curcumin,Tolterodine,Progressive muscle relaxation,swimming,hiking,physical therapy,Echinacea,decent sleep,Pepto-bismol,had sex,lots of walking,spinach,Biosil,went swimming,Therapy,Psychotherapy,slept late,social gathering,rest day,ate well,shopping,gluten,Trigger Points,swim class,Ligament Restore,coursera,slept 10 hours,Calcium citrate,Deep rest,Rather bad sleep,bunny cuddles,worked,pancakes dinner,Folic acid,Thyroid-Pro (CanPrev),Gardening,salad,slept 9 hours,catered food,Ibuprofen,Valtrex,marijuana,Bed at 11,prayer,breakfast,blueberries,Cetirizine hydrochloride,B12 timed release,travel,ate little,zoo,housework,Exercise--walking,ate dairy,party,Ate healthy,ate eggs,Zyrtec,medium sleep,Codeine,Support worker assistance,no breakfast,Adderall,heavy physcial exertion,Late lunch,juiced,Lymphatic massage,long shopping  trip,Valcyte,walked,cooked,Fishing,long walk,nachos,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Vitamins
,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early night
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,played video games
,,,,,,,,,,,,0.0,,0.0239178065887,,,2.0,,0.0,,,,,,5.50515841665e-05,,0.000902309768854,,0.0,2.0,0.0,,,1.99988597729,2.0,,,,,,0.0,,,1.40874836096,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,2.0,,0.199566470558,,,0.0,2.0,0.252995247702,0.0654557033298,0.0,,,,,,,2.0,2.0,2.0,0.000226228990051,,,,0.0,,,,0.0,,0.0,2.0,,,0.0,0.0,,,1.99996331459,0.0,,2.0,,2.0,,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,ate breakfast
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,snuggly cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,lots of desk work
,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,good breakfast
,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
