small breakfast,Sunlight,Albuterol Inhaler,Magnesium glycinate,5-htp,Nasonex,Claritin,9 hours sleep,Strattera,8 hours sleep,did some homework,Famotidine,Vitamin b complex,Benadryl,cuddled kitten,Ranitidine,Astelin,Calcium citrate,Vitamin C,mass transit,THC,Turmeric,Allegra,Klonopin,Cetirizine,Singulair,Fish oil,Vitamin b12,bed late,Post-op ice device,Zinc,Vitamin d,Melatonin,row
,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,,0.0,,2.0,,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,small breakfast
2.0,,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Sunlight
,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,Albuterol Inhaler
2.0,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Magnesium glycinate
2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5-htp
2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Nasonex
2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Claritin
0.0,2.0,,2.0,2.0,2.0,2.0,,2.0,0.0,,2.0,2.0,,0.0,,2.0,,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,9 hours sleep
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Strattera
0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,2.0,,0.0,,2.0,,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,8 hours sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,did some homework
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,0.0,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Famotidine
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,,,2.0,,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Vitamin b complex
,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,Benadryl
0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,,,,2.0,,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,cuddled kitten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Astelin
,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,Calcium citrate
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.455011649405,0.0,Vitamin C
0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,,0.0,,2.0,,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,mass transit
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,,2.0,,0.0,,0.0,2.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,THC
,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,Turmeric
