ate well,Lymphatic massage,Valcyte,Gardening,lots of walking,shopping,Superlong nap,nap,had sex,Ate healthy,Valtrex,ate breakfast,row
,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,ate well
,,,,,,,,,,,,Lymphatic massage
0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,Valcyte
2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Gardening
2.0,,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,lots of walking
0.0,,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,shopping
0.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Superlong nap
2.0,,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,nap
2.0,,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,had sex
2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,Ate healthy
2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,Valtrex
2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,ate breakfast
