ASMR,Coffee,Medication,Aloe Detox Water,Vitamins,Pet Therapy,Medical Marijuana,Language Learning,breathing exercises,Fluids,Daily walk,Essential oils,Turmeric,Exercise--walking,SPD alternative treatments,Weather- rain,Therapy,Meditation,Extra Medications,massage,TENS Unit,row
,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,ASMR
2.0,,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Coffee
0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Medication
2.0,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Aloe Detox Water
2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Vitamins
0.0,2.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Pet Therapy
2.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Medical Marijuana
0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Language Learning
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,breathing exercises
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Fluids
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Daily walk
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Essential oils
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Turmeric
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,Exercise--walking
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,SPD alternative treatments
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,Weather- rain
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,Therapy
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,Meditation
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,Extra Medications
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,massage
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,TENS Unit
