Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Pantoprazole,Metformin,Fexofenadine,Relaxing,excedrin migraine,Clinda-derm,Zolmitriptan,Valerian,Achy breaky rub,Benadryl,Enada,Progesterone,Vitamin B,Tranexamic acid,Medication,Zomig,Montelukast,Corticosteroids,row
,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Dicyclomine
2.0,,2.0,2.0,,2.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,Tretinoin
0.0,2.0,,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Phyical Therapy - stretches
0.0,2.0,0.0,,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
0.0,2.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Metformin
2.0,0.0,2.0,2.0,,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,Relaxing
,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
0.0,2.0,0.0,0.0,,0.0,2.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Clinda-derm
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Zolmitriptan
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,Valerian
,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,2.0,Benadryl
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,2.0,Enada
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,2.0,Progesterone
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,2.0,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,2.0,Medication
,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,2.0,Montelukast
2.0,0.0,2.0,2.0,,2.0,0.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,Corticosteroids
