Zantac,Prilosec,Pepto-bismol,Exercise,Claritin,Citalopram,Topiramate,Mirtazapine,Self care,Social interactions,SAD Light Box,Spironolactone,Magnesium,cocodamol,distraction,Sertraline,Fish oil,Cranberry extract,Sleep,massage,Hobbies,Paracetamol,Progressive muscle relaxation,row
,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,Zantac
0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,Prilosec
,,,,,,,,0.0,,,,,,,,,,,,,,0.0,Pepto-bismol
,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,,,Exercise
0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,Claritin
0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,Citalopram
0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,Topiramate
,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,,,Mirtazapine
,,0.0,,,,,,,,,,,,,,,,,,,,0.0,Self care
,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,,Social interactions
,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,SAD Light Box
0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,Spironolactone
0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,Magnesium
0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,cocodamol
,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,0.0,,,distraction
,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,Sertraline
0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,Fish oil
0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,Cranberry extract
,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,Sleep
0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,massage
,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,Hobbies
,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,0.0,,,,,,0.0,,,,,,,,,,,,,,,Progressive muscle relaxation
