Dicyclomine,Tretinoin,picnic,no breakfast,normal sleep,buses,Phyical Therapy - stretches,spinach,marijuana,Osteopathy,exercise,acupuncture treatment,Butterbur,Pantoprazole,ironing,walked,Went out on date,drank wine,Metformin,physical therapy,danced,lots of desk work,Fexofenadine,busy,Relaxing,Zolmitriptan,cooked breakfast,skipped meals,Clinda-derm,vacation,severe pain,lift x2,Ubiquinol,listen to music ,slimfast,Valerian,Achy breaky rub,worked in garden,Lazy day,broken sleep,banana,bbq,Benadryl,Enada,Superlong nap,laundry,bone broth,Shampoo,slept >12 hrs,scary new shit,Progesterone,Vitamin B,Medication,ate salsa,Tranexamic acid,studied,allergy shot,ate breakfast,Daytime nap,bed day,Gabapentin,crafting,Flexeril,Gardening,home alone,exercised,shopping,excedrin migraine,Zomig,not great sleep,Soy Sauce,Montelukast,no sleep,new environment,soy or tofu main dish eaten,chicken wild rice soup,bubble and squeak roast,Vitamin d,long walk,had sex,Late lunch,Corticosteroids,soft drink,thai food,row
,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,1.0,,,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,Dicyclomine
1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,1.0,,,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,picnic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buses
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
