Fluvoxamine,haircut,Poor sleep (hotel),Ambien CR,Miralax low dose at night,fuck yeah avocado,ate breakfast,snuggly cat,busy,excerise,met a new cat,Lavender oil,sugar,N-acetyl cysteine,rice,Magnesium malate,cuddled kitten,goat cheese,butternut squash risotto,Magnesium,Gaba,drank a lot,read book,Slept most of the day,salad,ate grains,ate popcorn,cocodamol,gluten free prezels,Inositol,Buteyko  breathing exercises ,Low dose pain meds,gluten free diet,bed day,3 drinks,Tyrosine,grocery shopping,no sleep,Zofran,Hydroxyzine,Candesartan,exercise,Green Vibrance,Slept well,Epsom Salts,sugar yesterday,eat two Luna bars,Woke Up With Alarm,Superlong nap,listen to music ,coffee,Ropinirole,mass transit,CuraMed,studied,cuddles!,Better sleep,new environment,bed late,beans,Late lunch,ate at a restaurant,Plaquenil,cheese,napped well,Norco,hiking,More stretching,short nap,decent sleep,Lying flat,ate red meat,no sleep last night,vacation,washing up,Topiramate,dairy,slept late,rest day,Oxynorm,shopping,l-theanine,Midodrine,grains,very little sleep,had sex ,Phentermine,Wear shoulder brace,coconut,allergy shot,Selenium,marijuana,honey,Burbur-Pinella,Low Dose Naltrexone,drank alcohol,gluten free,Ginkgo,nap,L-theanine,dairy free,party,had sex last night,Protecting back,Hiked,Awesome cheat day,Voltaren,heating pads,no breakfast,heavy physcial exertion,Freezie wrap,Onions,one coffee,blowjob,walked,drawing,Sleep,Methylphenidate,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,0.0,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,haircut
,0.0,,2.0,2.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,Poor sleep (hotel)
,2.0,2.0,,0.0,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,Ambien CR
,2.0,2.0,0.0,,,2.0,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,0.0,,,,,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,,,2.0,0.0,,0.0,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,,,0.0,,,0.0,2.0,,,,,,,2.0,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,,,2.0,0.0,,,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,fuck yeah avocado
,0.0,0.0,2.0,2.0,,,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.345181392837,2.0,0.0,,2.0,,,0.0,,,3.95687149712e-10,,,2.0,0.0,0.0,,,2.0,,2.0,2.0,0.0,,2.0,,0.0,2.0,,0.0,2.0,,0.0,0.0,2.0,1.03974662234,,2.0,0.0,,,2.0,0.0,0.0,2.0,0.0,0.0,,0.0320385832644,2.0,2.0,,ate breakfast
,,,,,,2.0,,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,0.0,,snuggly cat
,0.0,0.0,2.0,2.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,2.0,,,,,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,0.0,,0.0,,,,0.0,2.0,,2.0,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,,,2.0,,,2.0,0.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,busy
,,,,,,0.0,2.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,excerise
