Panamax,Prednisone,Creatine,Clonazepam,Nortriptyline,antihistamines,Acetyl Carnitine,Lithium,Soluble Aspirin,N-Acelcysteine,row
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panamax
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prednisone
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Creatine
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Clonazepam
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Nortriptyline
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,antihistamines
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Acetyl Carnitine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Lithium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Soluble Aspirin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N-Acelcysteine
