exercise,Omega-3 Capsules,Gardening,hot dog,Nortriptyline,10 hours sleep,MitoQ ,Oestrogel,banana,Gabapentine,slept in,had sex,Pantoprazole,cereal,Venlafaxine,Zolpidem,Prontolax Supp,Wellbutrin,row
,2.0,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,exercise
2.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,Omega-3 Capsules
,,,0.0,,0.0,,,,,0.0,,,0.0,,,,2.0,Gardening
,,0.0,,,0.0,,,,,0.0,,,0.0,,,,2.0,hot dog
2.0,0.0,,,,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,Nortriptyline
,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,10 hours sleep
2.0,0.0,,,0.0,,,0.0,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,MitoQ 
2.0,0.0,,,0.0,,0.0,,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,Oestrogel
0.0,2.0,,,2.0,,2.0,2.0,,2.0,,0.0,2.0,,2.0,2.0,2.0,,banana
2.0,0.0,,,0.0,,0.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,0.0,,Gabapentine
,,0.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,slept in
0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,2.0,,2.0,2.0,2.0,,had sex
2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,2.0,,,0.0,0.0,0.0,,Pantoprazole
,,0.0,0.0,,0.0,,,,,0.0,,,,,,,2.0,cereal
2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,,0.0,0.0,,Venlafaxine
2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,,Zolpidem
2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,0.0,,,Prontolax Supp
,,2.0,2.0,,2.0,,,,,2.0,,,2.0,,,,,Wellbutrin
