Vitamins,Dancing,physical therapy,Language Learning,Fluids,Biosil,Naproxen,prayer,Extra Medications,fuck yeah avocado,ASMR,Coffee,busy,Medical Marijuana,Trigger Points,espresso,Daily walk,Exercise--walking,playing music,SPD alternative treatments,Weather- rain,Therapy,Swimming,creative writing,coffee,Aloe Detox Water,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,Essential oils,slept 12 hours,Tavegyl,sex,Sisu B Calm,Thyroid-Pro (CanPrev),Turmeric,Medication,no sleep,Deep rest,B12 timed release,cuddled kitten,AOR Zinc-Copper Balance,Meditation,massage,TENS Unit,row
,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Vitamins
,,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,Dancing
,2.0,,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,physical therapy
0.0,,,,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Language Learning
0.0,,,0.0,,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Fluids
,0.0,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,Biosil
,2.0,0.0,,,2.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,Naproxen
,2.0,0.0,,,2.0,0.0,,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,prayer
0.0,,,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Extra Medications
,2.0,0.0,,,2.0,0.0,0.0,,,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,fuck yeah avocado
