Humira,Prednisone,Neti Pot,Fish oil,Hemorrhoid Cream,hydrocortisone suppository ,Flonase,Vitamin C,Iron,Ocella,Triamcinolone Cream,row
,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Humira
2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prednisone
2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neti Pot
2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fish oil
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Hemorrhoid Cream
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,hydrocortisone suppository 
2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Flonase
2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Vitamin C
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Iron
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Ocella
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Triamcinolone Cream
