played video games,vacuuming,hiking,thanksgiving dinner,haircut,hot,almonds,had sex,Pokemon go,Amitriptyline,Cat,flaxseed and fybogel,ate breakfast,Ventolin,Vitamin D3,Solpadeine Max,1 slice of cheese,advil,Singing,Infection,spinach risotto,Physio,ate dairy,dairy,8 hours sleep,treadmill,Solpadol,ate lots,broken sleep,banana,exercise,Cat ,busy,sushi,shopping,BLT,SAD Light Box,Magnesium citrate,Vitamin C,Calcium,pilates,Magnesium,Iron,egg white dlite,ate garlic,1 slice of cheese ,slept in chair,Daytime nap,Wellbutrin,archery,Iodine,doritos,home alone,Cinema,Sertraline,Solpadeine,12 hours sleep,walked,daytime nap,12K Steps,cooked,Vitamin b12,rice noodles,11 hours of sleep,did photography,electric wheelchair,ate a slice of cheese,massage,Ate junk food,row
,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,0.0,,,,,2.0,,,0.0,2.0,,,,played video games
,,,2.0,2.0,,2.0,,,0.0,2.0,2.0,,,0.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,0.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,0.0,,vacuuming
,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,0.0,,2.0,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,hiking
,2.0,,,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,thanksgiving dinner
,2.0,,0.0,,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,haircut
0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,0.0,,,,,2.0,,,0.0,2.0,,,,hot
,2.0,,0.0,0.0,,,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,almonds
,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
0.0,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,0.0,,,,,2.0,,,0.0,2.0,,,,Pokemon go
,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,0.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,0.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,0.0,,Amitriptyline
,2.0,,0.0,0.0,,0.0,,,2.0,,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,Cat
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,flaxseed and fybogel
,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,ate breakfast
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Ventolin
2.0,0.0,,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,,,,,,,2.0,,2.0,,,,2.0,,,,,,,2.0,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,,,2.0,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,0.0,2.0,,2.0,0.0,,0.0,,Vitamin D3
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Solpadeine Max
