colofac mr,busy,Medication,Slept well,Migraine Diet,Superlong nap,wear mask,Fruit,had sex,catered food,Omeprazole,studied,Low-FODMAP diet,13k steps,ate breakfast,Cinema,row
,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,colofac mr
,,,,,,,,,,,,,,,,busy
0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Medication
0.0,,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Slept well
0.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Migraine Diet
,,,,,,,,,,,,,,2.0,,Superlong nap
0.0,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,wear mask
0.0,,0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Fruit
0.0,,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,had sex
2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,catered food
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,Omeprazole
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,studied
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,Low-FODMAP diet
2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,13k steps
0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,ate breakfast
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,Cinema
