Alcohol,physical therapy,Caffeine,Sunlight,Synthroid,Aromatherapy,Albuterol Inhaler,Ambien CR,rebounding,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Low oxalate,Zofran,Hydroxyzine,Allergy Shots,eye ointment,gluten free,meds,Snooze,Famotidine,DEHA,Vitamin b complex,Veggies,Benadryl,Methylcobalamine,Ranitidine,strapping of shoulder,Trigger Points,therapy session,Tylenol 3,Astelin,Calcium citrate,Vitamin C,heating pads,Norco,Tavegyl,catheter,THC,Turmeric,Allegra,Klonopin,Cetirizine,Goth clubbing,CBD,Singulair,Fish oil,Snacks,stool softener,Rest,CoQ10,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,LUSH acne spot-treatment,massage,row
,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Alcohol
0.0,,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,Caffeine
2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,,,,2.0,,,,2.0,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,Sunlight
,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,Albuterol Inhaler
0.0,0.0,,2.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,Acupuncture
,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,birth control
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Magnesium glycinate
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,5-htp
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Nasonex
