Syncope,tired,period,0.9% Sodium Chloride Solution 1L,IV fluids,Nurse,dinner with friends,Headache,Hairdresser,Visitors,pain,Stanford,stressed,very hot weather,Very Hot Weather,Too Hot,hot weather,Tachy,Exhausted,movies,Groceries,Ibuprofen,row
,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,Syncope
2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,tired
2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,period
2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.9% Sodium Chloride Solution 1L
2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,IV fluids
2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Nurse
0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,dinner with friends
2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Headache
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Hairdresser
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Visitors
0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,pain
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Stanford
0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,stressed
0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,very hot weather
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Very Hot Weather
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,Too Hot
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,hot weather
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,Tachy
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,Exhausted
0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,movies
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,Groceries
0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,Ibuprofen
