Yoga,hiking,gluten free diet,Fluvoxamine,Toprol,Tavegyl,drank alcohol,mountain biking,Exercise,Tyrosine,glutened,Methylphenidate,Plaquenil,dairy,Topiramate,exercise,Chiropractic,10K steps,Voltaren,listen to music ,Magnesium,Midodrine,bunny cuddles,crafting,Love,Ultrasound,Ropinirole,row
,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Yoga
2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,hiking
0.0,2.0,,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,gluten free diet
0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
0.0,2.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Tavegyl
2.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,drank alcohol
0.0,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,mountain biking
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Exercise
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Tyrosine
