didn't really eat lunch,Vitamins,Cod liver oil,IVIG,Fluids,Naproxen,fuck yeah avocado,ate breakfast,Vitamin D3,smoothie,Risperidone,Psyllium husk,holiday,busy,coffee,Aloe Detox Water,Excedrin,ate gluten,creative writing,slept 12 hours,playing music,Swimming,home alone,Zantac,Tramadol,12K Steps,cuddled kitten,AOR Zinc-Copper Balance,drank a lot,Ritalin,Dancing,Language Learning,Pancake Breakfast,took a bath ,ASMR,Coffee,Medical Marijuana,espresso,caffeine,Dexedrine,SPD alternative treatments,Turmeric,exercise,Off work,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,listen to music ,Lamictal,grapes,Tavegyl,Sisu B Calm,Medication,Clonazepam,new environment,massage,hiking,physical therapy,Pepto-bismol,had sex,church,Extra Medications,lots of walking,spinach,Biosil,went swimming,Therapy,Weather- rain,Deep Breathing,banana,social gathering,Trigger Points,Ligament Restore,Deep rest,worked,sex,Thyroid-Pro (CanPrev),cake,Meditation,TENS Unit,allergy shot,marijuana,prayer,B12 timed release,travel,severe pain,Daily walk,hot,Exercise--walking,coconut milk,Codeine,Essential oils,no breakfast,Adderall,walked,no sleep,mango,pasta and veggies,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,didn't really eat lunch
,,,,2.0,,,,,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,2.0,,,0.0,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,2.0,0.0,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,Vitamins
,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Cod liver oil
,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,IVIG
,2.0,,,,,,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,0.0,,,2.0,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,0.0,2.0,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,,Fluids
,,,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,Naproxen
,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,ate breakfast
,,0.0,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,Vitamin D3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoothie
