Ritalin,gluten free diet,Cyclizine,Lithium,Magnesium gel,Vitamin d,Solifenacin,Prednisone,Creatine,Clonazepam,Ecural,Synthroid,Feverfew,Carbomer eye drops,creative writing,alverine,Multi vitamin,Ranitidine,Probiotic,Stretching,Deep rest,Physiotherapy,linseed,Cetraben cream,Gabapentin,Mezavant,Dr J study,Sertraline,Fish oil,Vitamin b12,Standing desk,Cerelle,Passionflower,Cardio,Nortriptyline,row
,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,Ritalin
,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,gluten free diet
0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,Cyclizine
,,,,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Lithium
,,,0.0,,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Magnesium gel
,,,2.0,2.0,,,2.0,2.0,2.0,0.0,2.0,,,,,,2.0,2.0,,,2.0,2.0,,,2.0,,,2.0,,2.0,,,,2.0,Vitamin d
0.0,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,Solifenacin
,,,0.0,0.0,2.0,,,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Prednisone
,,,0.0,0.0,2.0,,0.0,,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Creatine
,,,0.0,0.0,2.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Clonazepam
,,,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,,,,,,2.0,2.0,,,2.0,2.0,,,2.0,,,2.0,,2.0,,,,2.0,Ecural
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Synthroid
0.0,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,Feverfew
0.0,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,Carbomer eye drops
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,creative writing
0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,alverine
,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,Multi vitamin
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Ranitidine
0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,Probiotic
,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,Stretching
,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,Deep rest
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Physiotherapy
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,,0.0,linseed
0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,Cetraben cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,Mezavant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr J study
,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,Sertraline
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,Fish oil
0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,Vitamin b12
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,Standing desk
0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,Cerelle
0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,Passionflower
,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,Cardio
,,,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,Nortriptyline
