Multi vitamin,Albuterol,Vitamin D3,Zyrtec,physical therapy,use exercise bike,Ligament Restore,Selenium,SAD Light Box,Vitamin C,Toprol,Levothyroxine,Amitriptyline,Gabapentin,row
,,,,,,,,,,,,,,Multi vitamin
,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,,Zyrtec
,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,use exercise bike
,,,,,,,,,,,,,,Ligament Restore
,,,,,,,,,1.0,,,,,Selenium
,,,,,,,,,,,,,,SAD Light Box
,,,,,,,1.0,,,,,,,Vitamin C
,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,Gabapentin
