Triamcinolone,slept in,decent sleep,lots of walking,hiking,no sleep last night,climbed stairs,nap,wore bad shoes,Superlong nap,Ativan,walked,Daytime nap,Essential oils,benadryl ,exercise,no sleep,slept late,ate breakfast,Aspirin,row
,,,,,,,,,,,,,,,,,,,,Triamcinolone
,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,slept in
,,,,0.0,,,,,0.0,,,,2.0,,,,,0.0,,decent sleep
,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,lots of walking
,,0.0,,,,,,,0.0,,,,2.0,,,,,0.0,,hiking
,0.0,,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,no sleep last night
,0.0,,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,climbed stairs
,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,nap
,0.0,,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,wore bad shoes
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.00143507477844,2.0,Superlong nap
,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,0.0,Ativan
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,walked
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,Daytime nap
,,2.0,,2.0,,,,,2.0,,,,,,,,,2.0,,Essential oils
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,benadryl 
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,exercise
,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,no sleep
,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,slept late
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00143507477844,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,ate breakfast
,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,,Aspirin
